"結帳日期","結帳時間","類型","單號","交易序號","作廢狀態","","發票號碼","銷售總額","發票金額","服務費","折扣","稅額","支付方式","員工",""
"2022/09/01	","23:05	","內用","4	","2022090122250004	","","","","803","803","73","0","0","現金","-(000000)90466979",""
"2022/09/01	","23:20	","內用","2	","2022090117510002	","","","","3,073","3,073","280","7","0","現金","-(000000)90466979",""
"2022/09/01	","23:44	","內用","5	","2022090122570005	","","","","1,067","1,067","97","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","00:06	","內用","3	","2022090121530003	","","","","2,156","2,156","196","0","0","現金","-(000000)90466979",""
"2022/09/02	","00:59	","內用","1	","2022090102020001	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/02	","20:45	","內用","12	","2022090220450012	","","","","125","125","0","0","0","現金","-(000000)90466979",""
"2022/09/02	","21:29	","內用","1	","2022090217550001	","","","","5,775","5,775","525","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","22:03	","內用","2	","2022090217550002	","","","","3,905","3,905","355","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","22:18	","內用","6	","2022090123530006	","","","","3,399","3,399","309","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","22:36	","內用","7	","2022090217560007	","","","","3,949","3,949","359","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","22:38	","內用","3	","2022090217550003	","","","","4,499","4,499","409","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","22:53	","內用","8	","2022090217560008	","","","","1,694","1,694","154","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","22:59	","內用","15	","2022090221530015	","","","","880","880","80","0","0","現金","-(000000)90466979",""
"2022/09/02	","23:11	","內用","6	","2022090217550006	","","","","1,155","1,155","105","0","0","信用卡","-(000000)90466979",""
"2022/09/02	","23:29	","內用","4	","2022090217550004	","","","","6,303","6,303","573","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","00:20	","內用","13	","2022090221450013	","","","","5,478","5,478","498","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","00:46	","內用","19	","2022090223220019	","","","FM32358102","1,738","1,738","158","0","83","信用卡","-(000000)90466979",""
"2022/09/03	","00:55	","內用","11	","2022090218160011	","","","","3,289","3,289","299","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","01:18	","內用","17	","2022090222000017	","","","","3,223","3,223","293","0","0","LINE Pay","-(000000)90466979",""
"2022/09/03	","01:48	","內用","5	","2022090217550005	","","","","6,677","6,677","607","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","01:50	","內用","18	","2022090222460018	","","","","1,859","1,859","169","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","01:53	","內用","14	","2022090221520014	","","","","4,928","4,928","448","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","02:04	","內用","20	","2022090223420020	","","","","3,520","3,520","320","0","0","LINE Pay","-(000000)90466979",""
"2022/09/03	","02:16	","內用","9	","2022090217560009	","","","","11,935","11,935","1,085","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","02:25	","內用","22	","2022090300230022	","","","","594","594","54","0","0","現金","-(000000)90466979",""
"2022/09/03	","02:28	","內用","23	","2022090300370023	","","","","2,431","2,431","221","0","0","現金","-(000000)90466979",""
"2022/09/03	","02:29	","內用","16	","2022090221540016	","","","FM32358103","2,475","2,475","225","0","118","信用卡","-(000000)90466979",""
"2022/09/03	","02:31	","內用","21	","2022090300130021	","","","","3,586","3,586","326","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","02:35	","內用","10	","2022090218020010	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/03	","21:20	","內用","5	","2022090317390005	","","","","1,947","1,947","177","0","0","現金","-(000000)90466979",""
"2022/09/03	","21:24	","內用","3	","2022090317390003	","","","","1,375","1,375","125","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","21:46	","內用","6	","2022090318390006	","","","","3,168","3,168","288","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","22:15	","內用","2	","2022090317390002	","","","","792","792","72","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","22:33	","內用","11	","2022090321400011	","","","","880","880","80","0","0","現金","-(000000)90466979",""
"2022/09/03	","22:37	","內用","7	","2022090319290007	","","","","5,918","5,918","538","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","22:55	","內用","8	","2022090320130008	","","","","3,740","3,740","340","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","23:20	","內用","12	","2022090321470012	","","","","1,793","1,793","163","0","0","信用卡","-(000000)90466979",""
"2022/09/03	","23:21	","內用","14	","2022090323200014	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/03	","23:28	","內用","4	","2022090317390004	","","","","770","770","70","0","0","信用卡","-(000000)90466979",""
"2022/09/04	","00:37	","內用","9	","2022090321000009	","","","","1,210","1,210","110","0","0","信用卡","-(000000)90466979",""
"2022/09/04	","01:37	","內用","10	","2022090321210010	","","","","4,290","4,290","390","0","0","信用卡","-(000000)90466979",""
"2022/09/04	","01:51	","內用","13	","2022090323140013	","","","","2,343","2,343","213","0","0","現金","-(000000)90466979",""
"2022/09/04	","02:30	","內用","15-2	","2022090402300018	","","","","902","902","82","0","0","LINE Pay","-(000000)90466979",""
"2022/09/04	","02:30	","內用","15-1	","2022090402290017	","","","","924","924","84","0","0","LINE Pay","-(000000)90466979",""
"2022/09/04	","02:31	","內用","15-3	","2022090402310019	","","","","693","693","63","0","0","LINE Pay","-(000000)90466979",""
"2022/09/04	","02:31	","內用","15	","2022090401300015	","","","","858","858","78","0","0","信用卡","-(000000)90466979",""
"2022/09/04	","02:46	","內用","16	","2022090401590016	","","","","3,014","3,014","274","0","0","信用卡","-(000000)90466979",""
"2022/09/04	","02:48	","內用","1	","2022090317390001	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/04	","02:55	","內用","1	","2022090402540001	","","","","440","440","40","0","0","現金","-(000000)90466979",""
"2022/09/04	","22:05	","內用","4	","2022090418190004	","","","","12,760","12,760","1,160","0","0","信用卡","-(000000)90466979",""
"2022/09/05	","00:36	","內用","3	","2022090417460003	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/06	","19:46	","內用","1	","2022090619420001	","","","","125","125","0","0","0","現金","-(000000)90466979",""
"2022/09/06	","20:57	","內用","3	","2022090619490003	","","","","1,925","1,925","175","0","0","信用卡","-(000000)90466979",""
"2022/09/06	","22:03	","內用","2	","2022090619490002	","","","","1,870","1,870","170","0","0","現金","-(000000)90466979",""
"2022/09/06	","22:25	","內用","5	","2022090620400005	","","","","1,617","1,617","147","0","0","信用卡","-(000000)90466979",""
"2022/09/06	","23:43	","內用","6	","2022090622540006	","","","","517","517","47","0","0","現金","-(000000)90466979",""
"2022/09/06	","23:58	","內用","7	","2022090623110007	","","","FM32358104","704","704","64","0","34","信用卡","-(000000)90466979",""
"2022/09/07	","01:30	","內用","8	","2022090623500008	","","","","5,896","5,896","536","0","0","現金","-(000000)90466979",""
"2022/09/07	","01:38	","內用","9	","2022090701050009	"," 作廢2022/09/07 01:38","","","1,100","1,100","100","0","0","現金","-(000000)90466979",""
"2022/09/07	","01:38	","內用","10	","2022090701380010	","","","","1,100","1,100","100","0","0","現金","-(000000)90466979",""
"2022/09/07	","01:41	","內用","4	","2022090620050004	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/07	","20:42	","內用","5	","2022090720390005	","","","FM32358105","3,500","3,500","0","0","167","現金","-(000000)90466979",""
"2022/09/07	","22:07	","內用","6	","2022090721210006	","","","","1,892","1,892","172","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","00:35	","內用","7	","2022090721240007	","","","","1,760","1,760","160","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","00:53	","內用","1	","2022090717460001	","","","FM32358106","2,420","2,420","220","0","115","信用卡","-(000000)90466979",""
"2022/09/08	","01:01	","內用","9	","2022090801010009	","","","","308","308","28","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","01:32	","內用","10	","2022090801100010	","","","","440","440","40","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","01:33	","內用","8	","2022090800070008	","","","FM32358107","616","616","56","0","29","現金","-(000000)90466979",""
"2022/09/08	","01:37	","內用","3	","2022090719550003	","","","FM32358108","2,269","2,269","229","250","108","信用卡","-(000000)90466979",""
"2022/09/08	","01:43	","內用","4-1	","2022090801430011	","","","","2,387","2,387","217","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","01:45	","內用","4	","2022090720130004	","","","","1,697","1,697","177","250","0","信用卡","-(000000)90466979",""
"2022/09/08	","01:46	","內用","2	","2022090717460002	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/08	","18:08	","內用","13	","2022090818080013	","","","","100","100","0","0","0","現金","-(000000)90466979",""
"2022/09/08	","20:24	","內用","11	","2022090817300011	"," 跨日作廢2022/10/04 20:53","","","2,354","2,354","214","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","21:17	","內用","1	","2022090817280001	","","","","5,808","5,808","528","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","21:25	","內用","3-1	","2022090821240016	","","","FM32358109","1,848","1,848","168","0","88","信用卡","-(000000)90466979",""
"2022/09/08	","21:33	","內用","6	","2022090817290006	","","","","5,445","5,445","495","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","22:07	","內用","9	","2022090817300009	","","","","1,518","1,518","138","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","22:39	","內用","2	","2022090817280002	","","","","5,302","5,302","482","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","23:39	","內用","8	","2022090817300008	","","","","4,356","4,356","396","0","0","信用卡","-(000000)90466979",""
"2022/09/08	","23:43	","內用","7-1	","2022090823420019	","","","","737","737","67","0","0","現金","-(000000)90466979",""
"2022/09/08	","23:49	","內用","14	","2022090820430014	","","","","1,694","1,694","154","0","0","信用卡","-(000000)90466979",""
"2022/09/09	","00:04	","內用","17	","2022090822550018	","","","","1,804","1,804","164","0","0","現金","-(000000)90466979",""
"2022/09/09	","00:19	","內用","3	","2022090817280003	","","","","14,044","14,044","1,284","80","0","信用卡","-(000000)90466979",""
"2022/09/09	","00:52	","內用","7-2	","2022090900510025	","","","","275","275","25","0","0","現金","-(000000)90466979",""
"2022/09/09	","00:58	","內用","7	","2022090817290007	","","","","8,712","8,712","792","0","0","現金","-(000000)90466979",""
"2022/09/09	","01:01	","內用","20	","2022090900130022	","","","","880","880","80","0","0","現金","-(000000)90466979",""
"2022/09/09	","01:17	","內用","18	","2022090823570020	","","","","242","242","22","0","0","現金","-(000000)90466979",""
"2022/09/09	","01:39	","內用","22	","2022090900440024	","","","","825","825","75","0","0","信用卡","-(000000)90466979",""
"2022/09/09	","02:11	","內用","15	","2022090820430015	","","","","1,705","1,705","155","0","0","信用卡","-(000000)90466979",""
"2022/09/09	","02:12	","內用","25	","2022090902110028	","","","","385","385","35","0","0","現金","-(000000)90466979",""
"2022/09/09	","02:15	","內用","21	","2022090900240023	","","","","2,112","2,112","192","0","0","現金","-(000000)90466979",""
"2022/09/09	","02:42	","內用","24	","2022090901130027	","","","","1,617","1,617","147","0","0","信用卡","-(000000)90466979",""
"2022/09/09	","03:05	","內用","10	","2022090817300010	","","","","16,969","16,969","1,679","1,500","0","信用卡","-(000000)90466979",""
"2022/09/09	","03:07	","內用","16	","2022090821270017	","","","","3,080","3,080","280","0","0","信用卡","-(000000)90466979",""
"2022/09/09	","03:08	","內用","12	","2022090817510012	","","","","0","0","0","0","0","現金","-(000000)90466979",""
"2022/09/09	","21:08	","內用","8	","2022090918170008	","","","FM32358110","5,368","5,368","488","0","256","信用卡","-(000000)90466979",""
"2022/09/09	","21:37	","內用","6	","2022090917330006	","","","","1,232","1,232","112","0","0","信用卡","-(000000)90466979",""
"2022/09/09	","22:18	","內用","10	","2022090920390010	","","","","1,320","1,320","120","0","0","信用卡","店長Ian(0002)ian",""
"2022/09/09	","22:58	","內用","4	","2022090917330004	","","","","2,794","2,794","254","0","0","信用卡","店長Ian(0002)ian",""
"2022/09/09	","23:24	","內用","7	","2022090917330007	","","","","4,422","4,422","402","0","0","信用卡","店長Ian(0002)ian",""
"2022/09/09	","23:58	","內用","3	","2022090917330003	","","","","4,939","4,939","449","0","0","信用卡","店長Ian(0002)ian",""
"2022/09/10	","00:19	","內用","13	","2022090923300013	","","","","957","957","87","0","0","現金","店長Ian(0002)ian",""
"2022/09/10	","00:48	","內用","14	","2022091000200014	","","","","770","770","70","0","0","現金","店長Ian(0002)ian",""
"2022/09/10	","00:59	","內用","9	","2022090919560009	","","","","3,660","3,660","340","80","0","信用卡","店長Ian(0002)ian",""
"2022/09/10	","01:38	","內用","19	","2022091001350019	","","","","100","100","0","0","0","現金","店長Ian(0002)ian",""
"2022/09/10	","01:41	","內用","17	","2022091001140017	","","","","462","462","42","0","0","現金","店長Ian(0002)ian",""
