"交易序號","發票編號","類別名稱","商品名稱","數量","點單金額","客數","商品單位"
"20220901 02020001","","招待","員工喝 Redbull",1,0,0,"選擇追蹤單位"
"20220901 02020001","","杯子","破杯費(薄威士忌杯)",1,0,0,"選擇追蹤單位"
"20220901 02020001","","招待","招待 jagermeister Shot",3,0,0,""
"20220901 02020001","","杯子","破杯費(大馬丁尼杯)",1,0,0,"選擇追蹤單位"
"20220901 02020001","","招待","員工喝High Ball",4,0,0,"選擇追蹤單位"
"20220901 02020001","","招待","員工喝 Redbull",1,0,0,"選擇追蹤單位"
"20220901 02020001","","招待","員工喝 Redbull",1,0,0,"選擇追蹤單位"
"20220901 02020001","","招待","員工喝High Ball",1,0,0,"選擇追蹤單位"
"20220901 17510002","","Other Classic","JagerBomb",2,700,0,"選擇追蹤單位"
"20220901 17510002","","Other Classic","JagerBomb",1,350,0,"選擇追蹤單位"
"20220901 17510002","","Other Classic","JagerBomb",1,350,0,"選擇追蹤單位"
"20220901 17510002","","Other Classic","JagerBomb",4,1400,0,"選擇追蹤單位"
"20220901 21530003","","Signature Cocktail","西方世界",1,400,0,"選擇追蹤單位"
"20220901 21530003","","Signature Cocktail","尋根",1,400,0,"選擇追蹤單位"
"20220901 20001533","","Signature Cocktail","浮生若夢",1,400,0,"選擇追蹤單位"
"20220901 21530003","","Gin","LONEWOLF CACTUS & LIME",1,400,0,"選擇追蹤單位"
"20220901 21530003","","滷味","秘制滷味拼盤",1,360,0,"選擇追蹤單位"
"20220901 22250004","","Classic Cocktail","Side Car",1,350,0,""
"20220901 22250004","","Signature Cocktail","雲嫣",1,380,0,"選擇追蹤單位"
"20220901 22570005","","炸物","可樂果炸雞",1,320,0,"選擇追蹤單位"
"20220901 22570005","","Signature Cocktail","雲初之上",1,400,0,"選擇追蹤單位"
"20220901 22570005","","醬料","松露酸奶醬",1,30,0,"選擇追蹤單位"
"20220901 22570005","","炸物","太極雙醬薯條",1,220,0,"選擇追蹤單位"
"20220901 23530006","","Other Classic","Boulevardier",1,350,0,""
"20220901 23530006","","Other Classic","Corpse Reviver",1,380,0,"選擇追蹤單位"
"20220901 23530006","","Signature Cocktail","龍柏",1,400,0,"選擇追蹤單位"
"20220901 23530006","","湯物","番茄豚肉湯",1,320,0,"選擇追蹤單位"
"20220901 23530006","","主食","干貝雞汁拌麵",1,260,0,"選擇追蹤單位"
"20220901 23530006","","Signature Cocktail","琥珀",1,380,0,"選擇追蹤單位"
"20220901 23530006","","主食","野菇櫻花蝦飯",1,250,0,"選擇追蹤單位"
"20220901 23530006","","Signature Cocktail","尋根",1,400,0,"選擇追蹤單位"
"20220901 23530006","","Classic Cocktail","Side Car",1,350,0,""
"20220902 17550001","","Special及活動","Special Cocktail",1,400,0,"選擇追蹤單位"
"20220902 17550001","","特色餐點","黑白無腸",1,180,0,"選擇追蹤單位"
"20220902 17550001","","Signature Cocktail","山海關",1,420,0,"選擇追蹤單位"
"20220902 17550001","","開胃小點","臥龍三椒鳳爪",1,120,0,"選擇追蹤單位"
"20220902 17550001","","主食","手工高麗菜豬肉水餃",1,200,0,"選擇追蹤單位"
"20220902 17550001","","Signature Cocktail","浪子之琴",1,420,0,"選擇追蹤單位"
"20220902 17550001","","滷味","秘制滷味拼盤",1,360,0,"選擇追蹤單位"
